STASH code,Parameter,Description,Unit,Discipline,Category,Number
16205,wet bulb potential temperature,,K,0,0,192
254,cloud water mixing ratio,,kg/kg,0,1,192
3225,u component of wind (surface adjusted),,m/s,0,2,192
3226,v component of wind (surface adjusted),,m/s,0,2,193
3225,wind direction (from which blowing) (surface adjusted),,degrees,0,2,194
3226,wind speed (surface adjusted),,m/s,0,2,195
1213,upward UV radiation,,W/m2,0,4,192
9210,height of lowest cloud base greater than 2.5 oktas,,kft,0,6,192
9218,cloud amount below 1000 feet ASL,,%,0,6,195
20058,dust concentration,,g/m3,0,13,192
20059,dust concentration,,g/m3,0,13,192
431,dust mass mixing ratio division 1,,kg/kg,0,13,193
432,dust mass mixing ratio division 2,,kg/kg,0,13,194
21104,total lightning flash density,,m-2 s-1,0,17,192
3318,primary deciduous trees,,1,2,0,192
3318,primary evergreen trees,,1,2,0,193
3318,natural grasses of C3 plant functional types,,1,2,0,194
3318,natural grasses of C4 plant functional types,,1,2,0,195
3318,shrubs,,1,2,0,196
6071,2nd swell period,,s,10,0,193
6073,2nd swell direction,,degrees,10,0,194
6070,2nd swell height,,m,10,0,195
6074,2nd swell mean directional spread,,degrees,10,0,196
6081,3rd swell period,,m,10,0,197
6083,3rd swell direction,,degrees,10,0,198
6080,3rd swell height,,m,10,0,199
6084,3rd swell mean directional spread,,degrees,10,0,200
6110,wind sea energy at peak frequency,,m2/Hz/rad,10,0,201
6120,swell energy at peak frequency,,m2/Hz/rad,10,0,202
6130,2nd swell energy at peak frequency,,m2/Hz/rad,10,0,203
6140,3rd swell energy at peak frequency,,m2/Hz/rad,10,0,204
151,tide current speed,,m s-1,10,1,192
152,tide current direction,,degrees,10,1,193
,Depth Max Current,The depth at which the maximum current occurs.,m,10,1,194
150,tide water level,,m,10,3,192
,Visibility of Ocean,"The Visibility of the Ocean, the light Secchi depth (1.7/Kd)",m,10,4,192
