Code figure,Parameter,Unit
192,Level of wet-bulb temperature 0 °C isotherm,
193,Convective cloud layer bottom level,
194,Convective cloud layer top level,
195,Equilibrium level of most unstable CAPE,
196,Equilibrium level of mixed layer CAPE,
197,Effective inflow layer base height,
198,Effective inflow layer top height,
199,Top of condensation trail formation,
200,Base of condensation trail formation,
201,Top of persistence condensation trail formation,
202,Base of persistence condensation trail formation,
203,Level of maximum wind vertical velocity in vicinity of 30km,
204,Level of 98th percentile wind vertical velocity in vicinity of 30km,


